AIFTable,AIFColumn,UDMTable,UDMColumn
CategoryFeed_USPolo,CategoryName,productcategory,Name
CategoryFeed_USPolo,CategoryNumber,productcategory,SourceCategoryNumber
CategoryFeed_USPolo,HierarchyName,productcategory,c_hierarchyName
CategoryFeed_USPolo,ParentCategoryNumber,productcategory,SourceParentCategoryNumber
CustomerFeed_USPolo,Address1,address,Address1
CustomerFeed_USPolo,Address2,address,Address2
CustomerFeed_USPolo,City,address,City
CustomerFeed_USPolo,Company,customer,Company
CustomerFeed_USPolo,Country,address,Country
CustomerFeed_USPolo,CustomerAttribute1,customer,c_birthDateTextFormat
CustomerFeed_USPolo,CustomerAttribute2,customer,c_customerBrands
CustomerFeed_USPolo,CustomerAttribute3,customer,c_cardNo
CustomerFeed_USPolo,CustomerAttribute4,customer,Gender;{'Female':'F','Male':'M'}
CustomerFeed_USPolo,CustomerAttribute5,customer,c_virtualCardInformation
CustomerFeed_USPolo,CustomerAttribute6,customer,c_customerGroup
CustomerFeed_USPolo,CustomerAttribute7,customer,c_customerType
CustomerFeed_USPolo,CustomerAttribute9,customer,c_webMembership
CustomerFeed_USPolo,CustomerNumber,address,SourceAddressNumber
CustomerFeed_USPolo,CustomerNumber,customer,SourceCustomerNumber
CustomerFeed_USPolo,CustomerNumber,customeraddressxref,SourceAddressNumber
CustomerFeed_USPolo,CustomerNumber,customeraddressxref,SourceCustomerNumber
CustomerFeed_USPolo,DNC,customer,DoNotCall;{'1':'Y','0':'N'}
CustomerFeed_USPolo,DNE,customer,DoNotEmail;{'1':'Y','0':'N'}
CustomerFeed_USPolo,DNM,customer,DoNotMail;{'1':'Y','0':'N'}
CustomerFeed_USPolo,DateCreated,customer,DateCreated
CustomerFeed_USPolo,DateModified,customer,DateModified
CustomerFeed_USPolo,Email,customer,Email
CustomerFeed_USPolo,FirstName,customer,FirstName
CustomerFeed_USPolo,LastName,customer,LastName
CustomerFeed_USPolo,MiddleName,customer,MiddleName
CustomerFeed_USPolo,PrimaryPhone,customer,PrimaryPhone
CustomerFeed_USPolo,Sal,customer,Sal
CustomerFeed_USPolo,State,address,State
CustomerFeed_USPolo,Title,customer,Title
CustomerFeed_USPolo,Zip,address,Zip
OrderFeed,COGS,transactionitem,CostBasis
OrderFeed,CustomerNumber,transaction,SourceCustomerNumber
OrderFeed,DateCreated,transaction,DateCreated
OrderFeed,DateCreated,transactionitem,DateCreated
OrderFeed,DateModified,transaction,DateModified
OrderFeed,DateModified,transactionitem,DateModified
OrderFeed,Discount,transactionitem,Discount
OrderFeed,LineType,transactionitem,Subtype
OrderFeed,OrderAttribute10,transaction,SourceOrganizationNumber
OrderFeed,OrderAttribute10,transactionitem,SourceOrganizationNumber
OrderFeed,OrderAttribute3,transactionitem,c_saleSeason
OrderFeed,OrderAttribute4,transaction,SourceTransactionNumberAlt
OrderFeed,OrderDate,transaction,TransactionTimeStamp
OrderFeed,OrderDate,transactionitem,InvoiceDate
OrderFeed,OrderLineNumber,transactionitem,SourceTransactionItemNumber
OrderFeed,OrderLineNumber,transactionitem,Type#"Purchase"
OrderFeed,OrderNumber,transaction,SourceTransactionNumber
OrderFeed,OrderNumber,transaction,Type#"Purchase"
OrderFeed,OrderNumber,transactionitem,SourceTransactionNumber
OrderFeed,ProductNumber,transactionitem,SourceProductNumber
OrderFeed,Quantity,transactionitem,Quantity
OrderFeed,SaleRevenue,transactionitem,SaleRevenue
OrderFeed,ShipDate,transactionitem,ShipDate
OrderFeed,ShippingRevenue,transactionitem,ShippingRevenue
OrderFeed,Tax,transactionitem,Tax
OrderFeed_Aydinli,COGS,transactionitem,CostBasis
OrderFeed_Aydinli,CustomerNumber,customer,SourceCustomerNumber
OrderFeed_Aydinli,CustomerNumber,transaction,SourceCustomerNumber
OrderFeed_Aydinli,DateCreated,transaction,DateCreated
OrderFeed_Aydinli,DateCreated,transactionitem,DateCreated
OrderFeed_Aydinli,DateModified,transaction,DateModified
OrderFeed_Aydinli,DateModified,transactionitem,DateModified
OrderFeed_Aydinli,Discount,transactionitem,Discount
OrderFeed_Aydinli,LineType,transactionitem,Subtype
OrderFeed_Aydinli,OrderAttribute10,transaction,SourceOrganizationNumber
OrderFeed_Aydinli,OrderAttribute10,transactionitem,SourceOrganizationNumber
OrderFeed_Aydinli,OrderAttribute3,transactionitem,c_saleSeason
OrderFeed_Aydinli,OrderAttribute4,transaction,SourceTransactionNumberAlt
OrderFeed_Aydinli,OrderDate,transaction,TransactionTimeStamp
OrderFeed_Aydinli,OrderDate,transactionitem,InvoiceDate
OrderFeed_Aydinli,OrderLineNumber,transactionitem,SourceTransactionItemNumber
OrderFeed_Aydinli,OrderLineNumber,transactionitem,Type#'Purchase'
OrderFeed_Aydinli,OrderNumber,transaction,SourceTransactionNumber
OrderFeed_Aydinli,OrderNumber,transaction,Type#'Purchase'
OrderFeed_Aydinli,OrderNumber,transactionitem,SourceTransactionNumber
OrderFeed_Aydinli,ProductNumber,transactionitem,SourceProductNumber
OrderFeed_Aydinli,Quantity,transactionitem,Quantity
OrderFeed_Aydinli,SaleRevenue,transactionitem,SaleRevenue
