AIFTable,AIFColumn,UDMTable,UDMColumn
ADW_AQUISITIONVEHICLE,AcquisitionCategory,customer,c_ADWAcquisitionCategory
ADW_AQUISITIONVEHICLE,AcquisitionVehicle,customer,c_ADWAcquisitionVehicle
ADW_AQUISITIONVEHICLE,MDSCustomerID,customer,SourceCustomerNumber
ADW_AQUISITIONVEHICLE,MDSCustomerID,customer,c_mdsCustomerID
ADW_AQUISITIONVEHICLE,MDSCustomerID,customer,c_source#'ADW Acquisition Vehicle'
ADW_AQUISITIONVEHICLE,TransactionChannel,customer,c_ADWAcquisitionChannel
ADW_CUSTOMERLINEAGE,C_CUSTOMERNUMBER,c_CUSTOMERLINEAGE,Sourcec_CUSTOMERLINEAGENumber:adwCustNum
ADW_CUSTOMERLINEAGE,C_CUSTOMERNUMBER,c_CUSTOMERLINEAGE,c_CUSTOMERNUMBER
ADW_CUSTOMERLINEAGE,C_CUSTOMERNUMBER,customer,SourceCustomerNumber:adwCustNum
ADW_CUSTOMERLINEAGE,C_CUSTOMERNUMBER,customer,c_customerNumber
ADW_CUSTOMERLINEAGE,C_CUSTOMERNUMBER,customer,c_source#'ADW Customer Lineage'
ADW_CUSTOMERLINEAGE,C_CUSTOMER_HASH,c_CUSTOMERLINEAGE,c_CUSTOMER_HASH
ADW_CUSTOMERLINEAGE,C_CUSTOMER_HASH,customer,c_customer_hash
ADW_CUSTOMERLINEAGE,C_MDSCUSTOMERID,c_CUSTOMERLINEAGE,c_MDSCUSTOMERID
ADW_CUSTOMERLINEAGE,C_MDSCUSTOMERID,customer,c_mdsCustomerID
ADW_TID,SegmentID,c_mailTrackingID,c_mailSegmentNumber
ADW_TID,TIDStart,c_mailTrackingID,Sourcec_mailTrackingIDNumber
ADW_TRANSACTION,CURRENCY,transaction,Currency
ADW_TRANSACTION,C_CHANNEL,transaction,c_CHANNEL
ADW_TRANSACTION,C_CUSTOMERNUMBER,customer,SourceCustomerNumber:adwCustNum
ADW_TRANSACTION,C_CUSTOMERNUMBER,customer,c_customerNumber
