udmTable,ColumnName,ColumnType,ColumnDisplayName
account,Batch,STRING,Batch
account,DateCreated,LONG,DateCreated
account,DateModified,LONG,DateModified
account,DeleteFlag,BOOLEAN,DeleteFlag
account,ID,STRING,ID
account,Name,STRING,Name
account,ParentAccountID,STRING,ParentAccountID
account,ParentAccountNumber,STRING,ParentAccountNumber
account,RowCreated,LONG,RowCreated
account,RowModified,LONG,RowModified
account,Source,STRING,Source
account,SourceAccountNumber,STRING,SourceAccountNumber
account,SourceSystemID,STRING,SourceSystemID
account,TenantId,INTEGER,TenantId
address,Address1,STRING,Address1
address,Address2,STRING,Address2
address,Batch,STRING,Batch
address,CMRA,STRING,CMRA
address,CarrierRoute,STRING,CarrierRoute
address,Certified,STRING,Certified
address,City,STRING,City
address,Country,STRING,Country
address,CountryCode,STRING,CountryCode
address,DateCertified,STRING,DateCertified
address,DeleteFlag,BOOLEAN,DeleteFlag
address,DeliveryPointCheckDigit,STRING,DeliveryPointCheckDigit
address,DeliveryPointCode,STRING,DeliveryPointCode
address,DpvConfirm,STRING,DpvConfirm
address,ErrorCode,STRING,ErrorCode
address,ErrorString,STRING,ErrorString
address,ID,STRING,ID
address,LACS,STRING,LACS
address,Latitude,STRING,Latitude
address,Longitude,STRING,Longitude
address,MatchFlag,STRING,MatchFlag
address,MoveDate,STRING,MoveDate
address,MoveType,STRING,MoveType
address,NCOADateModified,STRING,NCOADateModified
address,NCOADateUpdate,STRING,NCOADateUpdate
address,Name,STRING,Name
address,RBDI,STRING,RBDI
address,RowCreated,LONG,RowCreated
address,RowModified,LONG,RowModified
address,Source,STRING,Source
address,SourceAddressNumber,STRING,SourceAddressNumber
address,SourceSystemID,STRING,SourceSystemID
address,State,STRING,State
address,Suite,STRING,Suite
address,TenantId,INTEGER,TenantId
address,Type,STRING,Type
address,Zip,STRING,Zip
address,ZipExt,STRING,ZipExt
address,c_source,STRING,Source
anonymousevent,Anonymous,BOOLEAN,Anonymous
anonymousevent,Batch,STRING,Batch
anonymousevent,BodyType,STRING,BodyType
anonymousevent,BrandId,STRING,BrandId
anonymousevent,Browser,STRING,Browser
anonymousevent,BrowserType,STRING,BrowserType
anonymousevent,Category,STRING,Category
anonymousevent,ContainerId,STRING,ContainerId
anonymousevent,Cookie,STRING,Cookie
anonymousevent,Country,STRING,Country
anonymousevent,CustomerID,STRING,CustomerID
anonymousevent,CustomerState,STRING,CustomerState
anonymousevent,DeviceType,STRING,DeviceType
anonymousevent,Domain,STRING,Domain
anonymousevent,Email,STRING,Email
anonymousevent,EventTimeStamp,LONG,EventTimeStamp
anonymousevent,GeoAreaCode,STRING,GeoAreaCode
anonymousevent,GeoContinent,STRING,GeoContinent
anonymousevent,GeoLatitude,STRING,GeoLatitude
anonymousevent,GeoLongitude,STRING,GeoLongitude
anonymousevent,GeoOrganization,STRING,GeoOrganization
anonymousevent,GeoPostalCode,STRING,GeoPostalCode
anonymousevent,Geocity,STRING,Geocity
anonymousevent,Georegion,STRING,Georegion
anonymousevent,ID,STRING,ID
anonymousevent,IPAddress,STRING,IPAddress
anonymousevent,Language,STRING,Language
anonymousevent,LinkName,STRING,LinkName
anonymousevent,MessageID,STRING,MessageID
anonymousevent,OS,STRING,OS
anonymousevent,OperatingSystem,STRING,OperatingSystem
